EmpiricialRegret,length_scale,K,method
0.39696441867123167,1,10,ts
0.2700172586640234,1,10,epsilon
0.1709147523306903,1,10,ucb
0.5873400076817954,1,10,ts
0.4041980686651006,1,10,epsilon
0.3652866895750523,1,10,ucb
0.37286000509799794,1,10,ts
0.2755279832299051,1,10,epsilon
0.5387512705063815,1,10,ucb
0.2974631436943095,1,10,ts
0.23892319053722058,1,10,epsilon
0.4812427980258017,1,10,ucb
0.39082300381620383,1,10,ts
0.4257288244479275,1,10,epsilon
0.3376978535882642,1,10,ucb
0.7703809249473096,1,10,ts
0.21148855550843673,1,10,epsilon
0.26983938432746873,1,10,ucb
0.2789895276112581,1,10,ts
0.3324362782093695,1,10,epsilon
0.21654923764327683,1,10,ucb
0.33146600645473134,1,10,ts
0.41274713512411154,1,10,epsilon
0.2866784872639289,1,10,ucb
0.673985781931116,1,10,ts
0.2332045292711336,1,10,epsilon
0.38198587040686455,1,10,ucb
0.1764906259715987,1,10,ts
0.42011196835026404,1,10,epsilon
0.3935200708827694,1,10,ucb
0.3008663541545757,1,10,ts
0.26185333319190346,1,10,epsilon
0.40402105115499615,1,10,ucb
0.36964155815483246,1,10,ts
0.3017333562920024,1,10,epsilon
0.26051994791856325,1,10,ucb
0.2749189569943495,1,10,ts
0.27384965427640173,1,10,epsilon
0.3958671996512827,1,10,ucb
0.41618195738211106,1,10,ts
0.27082104483292774,1,10,epsilon
0.35242342758598266,1,10,ucb
0.2224409245632418,1,10,ts
0.3643026492541402,1,10,epsilon
0.3501137549518927,1,10,ucb
0.4596050301334023,1,10,ts
0.3052240019239139,1,10,epsilon
0.4516045702660375,1,10,ucb
0.276545611308725,1,10,ts
0.3296275795009828,1,10,epsilon
0.33124093109172564,1,10,ucb
0.35662445082257926,1,10,ts
0.2058873475635333,1,10,epsilon
0.19345292233604086,1,10,ucb
0.4889942596709896,1,10,ts
0.3210928675318855,1,10,epsilon
0.39920789548315455,1,10,ucb
0.29536811474707275,1,10,ts
0.31568998585127034,1,10,epsilon
0.22776614064032116,1,10,ucb
0.3098927521235049,1,10,ts
0.3447438249935813,1,10,epsilon
0.33052428171756876,1,10,ucb
0.37736993296766375,1,10,ts
0.22608195302657644,1,10,epsilon
0.32105671645945966,1,10,ucb
0.33002970598058384,1,10,ts
0.3161006764691728,1,10,epsilon
0.7276203662404053,1,10,ucb
0.2684354794960399,1,10,ts
0.24096918994281755,1,10,epsilon
0.24999446215297008,1,10,ucb
0.337121298705363,1,10,ts
0.43963067609415163,1,10,epsilon
0.29800385505786625,1,10,ucb
0.2685218263135446,1,10,ts
0.3708885761511328,1,10,epsilon
0.330398156822662,1,10,ucb
0.44119203835825904,1,10,ts
0.26784604750736113,1.5,10,epsilon
0.3106968914345492,1.5,10,ucb
0.2905573537147769,1.5,10,ts
0.09258544593077313,1.5,10,epsilon
0.310679846143603,1.5,10,ucb
0.3170419616666134,1.5,10,ts
0.21233614832804365,1.5,10,epsilon
0.21407334462452235,1.5,10,ucb
0.2712440333569301,1.5,10,ts
0.11194227128966255,1.5,10,epsilon
0.22583734251854315,1.5,10,ucb
0.29287396733026994,1.5,10,ts
0.16570382154082436,1.5,10,epsilon
0.5746190701794972,1.5,10,ucb
0.308896883970596,1.5,10,ts
0.21520124004539556,1.5,10,epsilon
0.27583001131967555,1.5,10,ucb
0.22153903839328895,1.5,10,ts
0.2334281601260939,1.5,10,epsilon
0.2780305479903998,1.5,10,ucb
0.14056031095871196,1.5,10,ts
0.2427515025297233,1.5,10,epsilon
0.4314155225493903,1.5,10,ucb
0.3195832674541341,1.5,10,ts
0.35769159119761246,1.5,10,epsilon
0.5024485532289669,1.5,10,ucb
0.3231769910179082,1.5,10,ts
0.1838132753721118,1.5,10,epsilon
0.1144562051232233,1.5,10,ucb
0.3129714687816756,1.5,10,ts
0.21136765359359183,1.5,10,epsilon
0.39378966683629246,1.5,10,ucb
0.15972325586417993,1.5,10,ts
0.21112985956393485,1.5,10,epsilon
0.12670866798443836,1.5,10,ucb
0.44769227682584184,1.5,10,ts
0.20392771340861948,1.5,10,epsilon
0.2496353465513316,1.5,10,ucb
0.19002520531561976,1.5,10,ts
